Last Update,4/18/2026,,
What to Add,Description,How it helps Cursor rules / Purpose,My Input
Frontmatter,"YAML metadata (description, globs, alwaysApply).",Tells Cursor's AI when and where to trigger this specific rule automatically.,
1. Table identity,"Full path, alias, domain, table type, acronyms.","Gives the AI the exact, hardcoded BigQuery path so it never hallucinates namespaces.",
2. Grain & keys - LOD,What one row represents; primary/surrogate keys; fan-out warnings.,Prevents the AI from executing invalid aggregations or causing Cartesian products.,
3. Partitioning & perf.,"Partition/cluster columns, mandatory date lower bounds.","Forces the AI to write cost-effective, partition-pruned BigQuery queries.",
4. Freshness & ops ,"Update cadence, lag, owner, upstream source. when does the table update, any upstream dependency, if the data is 0 for today, who should receive an email?",Helps the AI add caveats about data latency when users ask for real-time reporting.,
5. Columns,"Core schema details (name, type, nullable, meaning).",Stops the AI from inventing columns or misinterpreting Hive/BQ data types.,
6. Business logic,"1. Core measures, sign conventions, balance rules. metrics to be added, Key metrics and definition, numerator and denominator
2. Open a business dashboard and give clear definitions",Ensures metrics are calculated exactly as the business defines them (no guessing).,
7. Guardrails,"Mandatory filters (test accounts, valid states, quality checks).",Hardcodes logic so the AI never forgets to exclude test/bad data.,
8. Time semantics,"Primary timestamp, timezone (UTC/IST), DATE vs TIMESTAMP. explain where its a timestamp vs where its YYYYMMDD",Prevents timezone bugs and incorrect date filtering.,
9. Joins & relations,"Related tables, exact join keys, CTE/pre-aggregation patterns. Its evolving as and when u create a new job. ",Instructs AI on safe join paths and prevents duplicate counting during fan-outs.,
10. Dimensions,"Code-to-label mappings, tier/segment mappings.",Allows AI to map raw IDs or status codes to human-readable strings.,
11. Data quality,"Known bugs, null patterns, reversions, idempotency.",Prompts the AI to add warnings if an analyst queries historically bad data periods.,
12. Analyst workflow,"Engine specifics (BQ/Hive), explain plans, standard disclaimers.","Controls the AI's interaction style (e.g., forcing it to explain the plan before writing SQL).",
13. Examples of sql samples,"Safe patterns, what the table can and cannot answer.",Acts as few-shot prompting to guide the AI's SQL generation syntax.,
14. Changelog,"Dated entries of schema or mapping changes. any changes that happened, in loyalty plus 2.0 to 3.0",Helps the AI understand if older historical queries need different logic.,
15. TBD / Open questions,Missing info to confirm with owners.,Explicitly defines the limits of the AI's knowledge so it doesn't assume facts.,
16. Sample table data,sample csv raw dump of the data,,
17. Owners,Who are responsible from each of the teams,,
